"","order_col","V1","V2","CO2","TempPrediction","TempActuals","Difference"
"1",1,"ATG","Antigua and Barbuda",528800.281,-0.378075766,0.824,1.202075766
"2",2,"DZA","Algeria",150810251.4,-0.372590061,1.63,2.002590061
"3",3,"AZE","Azerbaijan",38278655.89,-0.376697788,1.347,1.723697788
"4",4,"ALB","Albania",6279022.83,-0.377865866,1.337,1.714865866
"5",5,"ARM","Armenia",5684072.919,-0.377887584,0.976,1.353887584
"6",6,"AGO","Angola",35428631.89,-0.376801822,0.808,1.184801822
"7",7,"ASM","Missing Data",0,0,0,0
"8",8,"ARG","Argentina",202782386.8,-0.370692929,1.057,1.427692929
"9",9,"AUS","Australia",415357583.7,-0.362933323,1.117,1.479933323
"10",10,"BHR","Bahrain",34490135.7,-0.37683608,2.188,2.56483608
"11",11,"BRB","Barbados",1325089.885,-0.378046699,1.069,1.447046699
"12",12,"BMU","Missing Data",0,0,0,0
"13",13,"BHS","Bahamas",2476100.621,-0.378004684,1.332,1.710004684
"14",14,"BGD","Bangladesh",85392082.29,-0.374978012,1.211,1.585978012
"15",15,"BLZ","Belize",562455.1001,-0.378074538,1.334,1.712074538
"16",16,"BIH","Bosnia and Herzegovina",25465436.98,-0.377165507,1.449,1.826165507
"17",17,"BOL","Bolivia",21152118.32,-0.377322956,1.009,1.386322956
"18",18,"MMR","Myanmar",25338879.18,-0.377170127,1.23,1.607170127
"19",19,"BEN","Benin",7501733.246,-0.377821234,1.307,1.684821234
"20",20,"SLB","Solomon Islands",247093.9776,-0.378086049,1.715,2.093086049
"21",21,"BRA","Brazil",472758338.3,-0.36083803,1.498,1.85883803
"22",22,"BGR","Bulgaria",49195030.35,-0.376299309,0.91,1.286299309
"23",23,"BRN","Brunei",10126106.1,-0.377725437,1.07,1.447725437
"24",24,"CAN","Canada",574470020.6,-0.357125262,1.451,1.808125262
"25",25,"KHM","Cambodia",7940276.395,-0.377805226,1.05,1.427805226
"26",26,"LKA","Sri Lanka",23416743.31,-0.37724029,1.085,1.46224029
"27",27,"COG","Congo",3312467.711,-0.377974154,1.121,1.498974154
"28",28,"COD","Democratic Republic of Congo",4817148.248,-0.377919229,1.106,1.483919229
"29",29,"BDI","Burundi",527326.4633,-0.37807582,0,0.37807582
"30",30,"CHN","China",10139656667,-0.007968453,1.579,1.586968453
"31",31,"AFG","Afghanistan",13295338.71,-0.377609751,1.483,1.860609751
"32",32,"BTN","Bhutan",1076749.182,-0.378055764,1.551,1.929055764
"33",33,"CHL","Chile",86551253.28,-0.374935699,0.68,1.054935699
"34",34,"CYM","Missing Data",0,0,0,0
"35",35,"CMR","Cameroon",7850934.216,-0.377808487,1.21,1.587808487
"36",36,"TCD","Chad",734417.8367,-0.37806826,1.207,1.58506826
"37",37,"COM","Comoros",189477.0039,-0.378088152,1.579,1.957088152
"38",38,"COL","Colombia",80968938.69,-0.37513947,0.787,1.16213947
"39",39,"CRI","Costa Rica",8773321.754,-0.377774817,0.802,1.179774817
"40",40,"CAF","Central African Republic",306528.1323,-0.37808388,1.235,1.61308388
"41",41,"CUB","Cuba",36042062.11,-0.37677943,1.341,1.71777943
"42",42,"CPV","Cape Verde",590216.3693,-0.378073524,1.842,2.220073524
"43",43,"COK","Missing Data",0,0,0,0
"44",44,"CYP","Cyprus",7515496.532,-0.377820732,0.859,1.236820732
"45",45,"DNK","Denmark",34542425.95,-0.376834171,1.609,1.985834171
"46",46,"DJI","Djibouti",806007.0752,-0.378065647,1.793,2.171065647
"47",47,"DMA","Dominica",139434.253,-0.378089979,0.849,1.227089979
"48",48,"DOM","Dominican Republic",20767242.37,-0.377337005,1.112,1.489337005
"49",49,"ECU","Ecuador",39171852.73,-0.376665184,1.081,1.457665184
"50",50,"EGY","Egypt",216175068.7,-0.370204057,0.526,0.896204057
"51",51,"IRL","Ireland",39668435.46,-0.376647057,1.26,1.636647057
"52",52,"GNQ","Equatorial Guinea",6684768.354,-0.377851056,1.308,1.685851056
"53",53,"EST","Estonia",19956861.82,-0.377366586,1.524,1.901366586
"54",54,"ERI","Eritrea",533967.1538,-0.378075577,1.584,1.962075577
"55",55,"SLV","El Salvador",7003286.046,-0.377839429,0.679,1.056839429
"56",56,"ETH","Ethiopia",13580352.49,-0.377599347,1.516,1.893599347
"57",57,"AUT","Austria",70617901.59,-0.375517312,1.73,2.105517312
"58",58,"CZE","Czech Republic",108126732.2,-0.374148132,1.597,1.971148132
"59",59,"GUF","Missing Data",0,0,0,0
"60",60,"FIN","Finland",45857363.03,-0.376421143,1.499,1.875421143
"61",61,"FJI","Fiji",1302751.595,-0.378047515,1.312,1.690047515
"62",62,"FLK","Missing Data",0,0,0,0
"63",63,"FSM","Missing Data",0,0,0,0
"64",64,"PYF","Missing Data",0,0,0,0
"65",65,"FRA","France",355549228.9,-0.3651165,1.76,2.1251165
"66",66,"GMB","Gambia",655755.8169,-0.378071132,2.055,2.433071132
"67",67,"GAB","Gabon",5634726.277,-0.377889385,1.26,1.637889385
"68",68,"GEO","Georgia",11222307.6,-0.377685422,0.881,1.258685422
"69",69,"GHA","Ghana",16932190.57,-0.377476995,1.339,1.716476995
"70",70,"GRD","Grenada",284038.9926,-0.378084701,1.092,1.470084701
"71",71,"GRL","Missing Data",0,0,0,0
"72",72,"DEU","Germany",804670793.8,-0.348722272,1.65,1.998722272
"73",73,"GUM","Missing Data",0,0,0,0
"74",74,"GRC","Greece",71980139.22,-0.375467587,0.74,1.115467587
"75",75,"GTM","Guatemala",20879857.57,-0.377332894,1.015,1.392332894
"76",76,"GIN","Guinea",2756292.598,-0.377994456,1.672,2.049994456
"77",77,"GUY","Guyana",2069532.565,-0.378019525,1.066,1.444019525
"78",78,"HTI","Haiti",2998241.774,-0.377985624,1.131,1.508985624
"79",79,"HND","Honduras",10857886.68,-0.377698725,1.003,1.380698725
"80",80,"HRV","Croatia",17154960.71,-0.377468863,1.547,1.924468863
"81",81,"HUN","Hungary",50387501.96,-0.37625578,1.367,1.74325578
"82",82,"ISL","Iceland",3473462.325,-0.377968277,1.659,2.036968277
"83",83,"IND","India",2465838218,-0.288084885,0.866,1.154084885
"84",84,"IRN","Iran",668262495.7,-0.353701567,1.735,2.088701567
"85",85,"ISR","Israel",65931814.44,-0.375688368,0.655,1.030688368
"86",86,"ITA","Italy",363321369.5,-0.364832794,1.623,1.987832794
"87",87,"CIV","Cote d'Ivoire",11793283.07,-0.37766458,1.579,1.95666458
"88",88,"IRQ","Iraq",190787328.9,-0.371130783,1.574,1.945130783
"89",89,"JPN","Japan",1205233925,-0.334100566,0.771,1.105100566
"90",90,"JAM","Jamaica",7854802.388,-0.377808346,1.167,1.544808346
"91",91,"JOR","Jordan",21540522.15,-0.377308778,1.001,1.378308778
"92",92,"KEN","Kenya",15984130.2,-0.377511602,1.623,2.000511602
"93",93,"KGZ","Kyrgyzstan",10682717.88,-0.377705119,1.503,1.880705119
"94",94,"PRK","North Korea",57880398.61,-0.375982268,1.522,1.897982268
"95",95,"KIR","Kiribati",71996.34299,-0.378092441,1.438,1.816092441
"96",96,"KOR","South Korea",617476777.7,-0.355555391,1.256,1.611555391
"97",97,"KWT","Kuwait",102363706.6,-0.374358499,2.122,2.496358499
"98",98,"KAZ","Kazakhstan",290587834.3,-0.367487778,1.779,2.146487778
"99",99,"LAO","Laos",1985059.008,-0.378022608,1.137,1.515022608
"100",100,"LBN","Lebanon",21915341.32,-0.377295096,1.067,1.444295096
"101",101,"LVA","Latvia",7172063.849,-0.377833268,1.51,1.887833268
"102",102,"BLR","Belarus",61254426.9,-0.375859106,1.577,1.952859106
"103",103,"LTU","Lithuania",13185883.81,-0.377613746,1.557,1.934613746
"104",104,"LBR","Liberia",1071013.146,-0.378055974,1.472,1.850055974
"105",105,"SVK","Slovakia",35387762.24,-0.376803314,1.286,1.662803314
"106",106,"LIE","Liechtenstein",160734.2282,-0.378089202,1.771,2.149089202
"107",107,"LBY","Libya",55113566.67,-0.376083265,0.567,0.943083265
"108",108,"MDG","Madagascar",3182013.768,-0.377978916,1.294,1.671978916
"109",109,"MTQ","Missing Data",0,0,0,0
"110",110,"MNG","Mongolia",30767510.4,-0.376971966,2.567,2.943971966
"111",111,"MSR","Missing Data",0,0,0,0
"112",112,"MKD","Missing Data",0,0,0,0
"113",113,"MLI","Mali",1721071.071,-0.378032245,1.425,1.803032245
"114",114,"MAR","Morocco",62447430.75,-0.375815558,2.378,2.753815558
"115",115,"MUS","Mauritius",4277062.646,-0.377938944,1.296,1.673938944
"116",116,"MRT","Mauritania",2750325.725,-0.377994674,1.95,2.327994674
"117",117,"MLT","Malta",1468281.059,-0.378041472,1.3,1.678041472
"118",118,"OMN","Oman",65603486.36,-0.375700353,1.416,1.791700353
"119",119,"MDV","Maldives",1788218.176,-0.378029794,0.754,1.132029794
"120",120,"MEX","Mexico",473645866.8,-0.360805633,1.546,1.906805633
"121",121,"MYS","Malaysia",250392937.3,-0.368955007,1.097,1.465955007
"122",122,"MOZ","Mozambique",9921210.14,-0.377732916,0.805,1.182732916
"123",123,"MWI","Malawi",1297556.154,-0.378047704,1.374,1.752047704
"124",124,"NCL","Missing Data",0,0,0,0
"125",125,"NIU","Missing Data",0,0,0,0
"126",126,"NER","Niger",2499589.112,-0.378003827,1.026,1.404003827
"127",127,"ABW","Missing Data",0,0,0,0
"128",128,"AIA","Missing Data",0,0,0,0
"129",129,"BEL","Belgium",100032025.2,-0.374443612,1.719,2.093443612
"130",130,"HKG","Hong Kong",42690411.61,-0.376536746,1.403,1.779536746
"131",131,"MNP","Missing Data",0,0,0,0
"132",132,"FRO","Missing Data",0,0,0,0
"133",133,"AND","Andorra",520427.1234,-0.378076072,1.853,2.231076072
"134",134,"GIB","Missing Data",0,0,0,0
"135",135,"IMB","Missing Data",0,0,0,0
"136",136,"LUX","Luxembourg",9429380.904,-0.377750869,1.668,2.045750869
"137",137,"MAC","Missing Data",0,0,0,0
"138",138,"MCO","Missing Data",0,0,0,0
"139",139,"PSE","Palestine",2236261.582,-0.378013439,0.655,1.033013439
"140",140,"MNE","Montenegro",2621977.94,-0.377999359,1.337,1.714999359
"141",141,"MYT","Missing Data",0,0,0,0
"142",142,"ALA","Missing Data",0,0,0,0
"143",143,"NFK","Missing Data",0,0,0,0
"144",144,"CCK","Missing Data",0,0,0,0
"145",145,"ATA","Missing Data",0,0,0,0
"146",146,"BVT","Missing Data",0,0,0,0
"147",147,"ATF","Missing Data",0,0,0,0
"148",148,"HMD","Missing Data",0,0,0,0
"149",149,"IOT","Missing Data",0,0,0,0
"150",150,"CXR","Missing Data",0,0,0,0
"151",151,"UMI","Missing Data",0,0,0,0
"152",152,"VUT","Vanuatu",187446.9724,-0.378088226,1.312,1.690088226
"153",153,"NGA","Nigeria",107293549.2,-0.374178546,1.32,1.694178546
"154",154,"NLD","Netherlands",163905442.9,-0.372112049,1.722,2.094112049
"155",155,"NOR","Norway",44713397.15,-0.376462901,1.552,1.928462901
"156",156,"NPL","Nepal",8512993.934,-0.37778432,1.098,1.47578432
"157",157,"NRU","Nauru",52251.90748,-0.378093161,0,0.378093161
"158",158,"SUR","Suriname",2079525.217,-0.37801916,1.397,1.77501916
"159",159,"NIC","Nicaragua",5568750.646,-0.377891793,1.004,1.381891793
"160",160,"NZL","New Zealand",35984967.78,-0.376781514,0.625,1.001781514
"161",161,"PRY","Paraguay",5898161.77,-0.377879769,1.313,1.690879769
"162",162,"PER","Peru",63329001.85,-0.375783378,1.041,1.416783378
"163",163,"PAK","Pakistan",209799389,-0.370436788,1.158,1.528436788
"164",164,"POL","Poland",324743248.6,-0.366241007,1.486,1.852241007
"165",165,"PAN","Panama",10079031.8,-0.377727155,0.884,1.261727155
"166",166,"PRT","Portugal",54645902.03,-0.376100336,2.188,2.564100336
"167",167,"PNG","Papua New Guinea",7554802.462,-0.377819297,1.222,1.599819297
"168",168,"GNB","Guinea-Bissau",325432.3382,-0.37808319,2.123,2.50108319
"169",169,"QAT","Qatar",134009271.4,-0.373203345,1.962,2.335203345
"170",170,"REU","Missing Data",0,0,0,0
"171",171,"ROU","Romania",79892530.94,-0.375178762,1.12,1.495178762
"172",172,"MDA","Moldova",5104240.705,-0.377908749,1.335,1.712908749
"173",173,"PHL","Philippines",127917909.4,-0.373425697,1.107,1.480425697
"174",174,"PRI","Missing Data",0,0,0,0
"175",175,"RUS","Missing Data",0,0,0,0
"176",176,"RWA","Rwanda",1005648.859,-0.37805836,0,0.37805836
"177",177,"SAU","Saudi Arabia",638152885.9,-0.354800654,1.838,2.192800654
"178",178,"KNA","Saint Kitts and Nevis",230966.7106,-0.378086638,0.824,1.202086638
"179",179,"SYC","Seychelles",619855.0554,-0.378072442,1.278,1.656072442
"180",180,"ZAF","South Africa",458679366.6,-0.361351953,1.125,1.486351953
"181",181,"LSO","Lesotho",2644518.516,-0.377998536,0.862,1.239998536
"182",182,"BWA","Botswana",7577461.926,-0.37781847,0.154,0.53181847
"183",183,"SEN","Senegal",9064952.78,-0.377764172,1.818,2.195764172
"184",184,"SVN","Slovenia",14584441.51,-0.377562695,1.729,2.106562695
"185",185,"SLE","Sierra Leone",1379811.955,-0.378044702,1.793,2.171044702
"186",186,"SGP","Singapore",64755966.5,-0.37573129,0,0.37573129
"187",187,"SOM","Somalia",741114.0117,-0.378068016,2.005,2.383068016
"188",188,"ESP","Spain",283201470.7,-0.367757401,1.943,2.310757401
"189",189,"LCA","Saint Lucia",437849.6517,-0.378079086,0.987,1.365079086
"190",190,"SDN","Sudan",18331645.85,-0.377425911,1.385,1.762425911
"191",191,"SWE","Sweden",41477216.38,-0.376581031,1.59,1.966581031
"192",192,"SYR","Syria",26120443.98,-0.377141598,1.172,1.549141598
"193",193,"CHE","Switzerland",39978516.2,-0.376635738,1.811,2.187635738
"194",194,"TTO","Trinidad and Tobago",41141099.58,-0.3765933,0,0.3765933
"195",195,"THA","Thailand",331665260.7,-0.365988333,0.997,1.362988333
"196",196,"TJK","Tajikistan",5685077.57,-0.377887547,1.318,1.695887547
"197",197,"TKL","Missing Data",0,0,0,0
"198",198,"TON","Tonga",134555.7012,-0.378090157,1.367,1.745090157
"199",199,"TGO","Togo",2953083.732,-0.377987273,1.392,1.769987273
"200",200,"STP","Sao Tome and Principe",119060.4199,-0.378090723,1.213,1.591090723
"201",201,"TUN","Tunisia",27893396.13,-0.37707688,1.52,1.89707688
"202",202,"TUR","Turkey",449957518.9,-0.361670326,0.763,1.124670326
"203",203,"TUV","Tuvalu",13160.57182,-0.378094588,1.116,1.494094588
"204",204,"TKM","Turkmenistan",72697333.59,-0.375441407,1.759,2.134441407
"205",205,"TZA","Tanzania",13572591.15,-0.37759963,1.626,2.00359963
"206",206,"UGA","Uganda",5553964.203,-0.377892333,1.637,2.014892333
"207",207,"GBR","United Kingdom",387879910,-0.363936337,1.443,1.806936337
"208",208,"UKR","Ukraine",213386194,-0.370305859,1.414,1.784305859
"209",209,"USA","United States",5279684865,-0.185371394,1.408,1.593371394
"210",210,"BFA","Burkina Faso",3334955.555,-0.377973333,1.214,1.591973333
"211",211,"URY","Uruguay",6800547.346,-0.377846829,1.49,1.867846829
"212",212,"UZB","Uzbekistan",99151410.67,-0.374475757,1.779,2.153475757
"213",213,"VCT","Saint Vincent and the Grenadines",222078.4148,-0.378086962,1.092,1.470086962
"214",214,"VEN","Venezuela",146720308.7,-0.372739356,0.788,1.160739356
"215",215,"VGB","Missing Data",0,0,0,0
"216",216,"VNM","Vietnam",196870032.1,-0.370908747,1.211,1.581908747
"217",217,"VIR","Missing Data",0,0,0,0
"218",218,"NAM","Namibia",3854819.742,-0.377954357,1.016,1.393954357
"219",219,"WLF","Missing Data",0,0,0,0
"220",220,"WSM","Samoa",231890.1831,-0.378086604,1.303,1.681086604
"221",221,"SWZ","Swaziland",1105469.599,-0.378054716,0.582,0.960054716
"222",222,"YEM","Yemen",18686743.49,-0.377412949,0,0.377412949
"223",223,"ZMB","Zambia",4679365.123,-0.377924259,0.646,1.023924259
"224",224,"ZWE","Zimbabwe",8955170.383,-0.377768179,0.269,0.646768179
"225",225,"IDN","Indonesia",488060138.2,-0.360279471,0.896,1.256279471
"226",226,"GLP","Missing Data",0,0,0,0
"227",227,"ANT","Missing Data",0,0,0,0
"228",228,"ARE","United Arab Emirates",233919992.4,-0.369556317,1.613,1.982556317
"229",229,"TLS","Timor",530105.9718,-0.378075718,1.215,1.593075718
"230",230,"PCN","Missing Data",0,0,0,0
"231",231,"PLW","Palau",251266.4052,-0.378085897,0.855,1.233085897
"232",232,"MHL","Marshall Islands",132131.2305,-0.378090246,0.416,0.794090246
"233",233,"SPM","Missing Data",0,0,0,0
"234",234,"SHN","Missing Data",0,0,0,0
"235",235,"SMR","San Marino",0,-0.378095069,1.669,2.047095069
"236",236,"TCA","Missing Data",0,0,0,0
"237",237,"ESH","Missing Data",0,0,0,0
"238",238,"SRB","Serbia",45293107.16,-0.37644174,1.284,1.66044174
"239",239,"VAT","Missing Data",0,0,0,0
"240",240,"SJM","Missing Data",0,0,0,0
"241",241,"MAF","Missing Data",0,0,0,0
"242",242,"BLM","Missing Data",0,0,0,0
"243",243,"GGY","Missing Data",0,0,0,0
"244",244,"JEY","Missing Data",0,0,0,0
"245",245,"SGS","Missing Data",0,0,0,0
"246",246,"TWN","Taiwan",272077701.6,-0.368163451,1.242,1.610163451
